no,kelurahan_id,nama,jumlah,penanganan,tahun
1,1,Kepanjenkidul,12,0,2023
2,2,Ngadirejo,35,0,2023
3,3,Sentul,48,0,2023
4,4,Kauman,54,0,2023
5,5,Tanggung,64,0,2023
6,6,Bendo,57,0,2023
7,7,Kepanjenlor,48,0,2023
8,8,Pakunden,58,0,2023
9,9,Blitar,63,0,2023
10,10,Tlumpu,14,0,2023
11,11,Turi,55,0,2023
12,12,Karangsari,36,0,2023
13,13,Sukorejo,146,0,2023
14,14,Tanjungsari,72,0,2023
15,15,Gedog,196,0,2023
16,16,Plosokerep,20,0,2023
17,17,Klampok,90,0,2023
18,18,Sananwetan,25,0,2023
19,19,Rembang,6,0,2023
20,20,Karangtengah,48,0,2023
21,21,Bendogerit,30,0,2023
